text,label
 no body likes yuuuuuuu!,1
right now I hate you and wanna be you at the same time... Such a weird feeling. Btw  Dirty Sexy Money rocks ;-),0
Very nice photo!  Fat face??  LOL  I think Not,0
lmao ikr. I knew you would hate it. I couldn't watch it without laughing hysterically,1
 ha  yeah  cleveland rocks! where was your first kiss?,0
i second that. i hate banks,1
 baha  actually  im going to go on now :) BITCH ARE YOU FUCKING STUPID? >.> the REAL ashlee has a proof video  your dumb  your probably just some old man behind a computer screen<3 go fuck yourself<3,1
WHAT THE FUCK?! WHY?! Do they have fucking brains?!,1
 How important does a person have to be before they are considered assassinated instead of just murdered?,0
aliea you better stay away from jesse james joplin the third!!!!!!!!  i don't give a fuck  bitch,1
That doesn't sound nice at all. As somebody who was made redundant with one day to trade last year with Swatch  I know it sucks!,1
Full confidence in your ability to kick ass in the new work... *raises a glass in spirit*,0
Well  at least a swift kick in the ass. But  yeah  I take issue with some of these retarded names parents give their kids.,1
 hmm didnt even know they existed...no wonder i feel like a complete retard when i cut stuff with a scissor,1
it's cos we're old now. sucks.,1
I don't believe in a lot of specialty kitchen gadgets  but I cling to my potato ricer and my popover pan. Carb freak? :),1
That sucks.,1
it's not of anything  you cant copy in art lol  its based on a lot of things  its just my own... And thats why it sucks lol,0
 would you rather be king/or queen of the universe for one year or get what you want for one year?,0
what da drilly wit dat do! ...oh  and i STILL got distribution in Japan...damn  that chick was the worst that night,1
  :D hahahaha,0
 do you like justin bieber,0
"I'm laughing at your ""Don't hate me  please.""  Can you imagine a man ever saying that?  Not to be gender specific  but...",1
 I luhh u already! I dha grl dat wanna give u becky and sex,0
regarding you and your tea obsession  you have become SO GAY  break out the Thermite man!!!!!  Shape up,1
if i get scared ill be sure to throw u in the way so u shiver in terror and piss ur pants like u already did,1
 Do you know I took my backround picture?(:,0
WHATTTTT O________O omg.....nahhhh i hate roller coaster and im extremely scared by this shoot......,1
 What did you dream about last night?,0
shut ur ass up! u woulda been wondering the same thing lol. done rehearsing 4da night & planning 2knock out...right about.....now,1
no not right now but im on a damn roll,0
i'd love to visit (or live) in san diego cause of yr round warm weather. i hate cold so bad. crowds n traf would b my probs there,1
damn that is shady. Why would they put out a false report?,1
& @babysinead i've never even met him in person. he's a fucking douche.,1
Mate it is. In Newcastle it was -1  down Bath -6  it's fucking brassic cold,1
 If you saw a robbery  would you report it?,0
Hang around Carlos Whittaker some...he'll help you with the hate.  :-),0
 You can only have one kind of sandwich. Every sandwich ingredient known to humankind is at your immediate disposal:,0
beat that bitch with a bat,1
I wanna see her tall lanky ass playin tennis  lol,1
 Do you have a boyfran?,0
I nominate @benmack for a Shorty Award in #business because he is a bad ass who says it likes he means it.,1
Joe the Plumber: scofflaw  activist  or just another cheap-ass?,0
 look to your right.. tell me the first thing you see,0
I hate it so much! :),0
the miracle was getting the fucking hooves out,0
 profile song!!!,0
  Currently. the 2010 camaro.r Its so beastttt :],0
Then Clive is a total pussy and after reading his Dominion shit I do not believe that. Oh Clive so many missteps.,1
  yeah . i won a car!,0
haha no gay stuff is good! cuz i tend to be attracted to females! haha jus chillen getting ready for work!,1
http://twitpic.com/taap - fat.,1
 What do you think is your most attractive feature?,0
YOU haven't  but a lot of #blcks did.  That's the case with me. Story of my life and I don't give a damn.,0
ROFL! You got me. Monkey would totally kick Bruce Lee's ass. I bow down to your superior wisdom.,1
you are fucking killing me. Please come to a party at my house next time yer in LA. Rice pilaf will be ready,1
"Dude this Breeze....I really wanna shove my boot up her ass. Or push her down the stairs on ""accident.""",0
 Are you telling the truth if you lie in bed?,0
Or  he's just sick of hearing me bitch about the cold and doesn't know what else to get me. I like your theory better  lol.,1
  nope,0
he was given one extra ticket from a coworker so henceforth my ass stays here.,1
Damn--and it's in the 50's in upstate NY today!,0
lol...i disagree...Dick in a Box got too built up for me. It's funnier now...but it wasn't when I saw it. :-( jiz in my pants rocks!,1
damn I can't believe all that happen to her hair. I always thought it was simple 2 straighten natural hair,1
 What hair color do they put on the driver&apos;s licenses of bald men?,0
  Well i do now :p,0
Mind your own state politics. Joe Smith was a mammal before a prophet. Some mammals are gay and even heterosexuals have anal sex.,1
Wow that sucks. Hope you make it home without turning into a snowman.,0
Amen.  Thrilled to see Brad Sucks on Rock Band 2. Congrats man  I hope you get some of those 80 MS Points. @bradsucks FTW!,1
  ummmm the begging of this year coz i had kayla in my class lol =] but there was nice ppl in my new now old class ha.,0
 How well do you handle rejection?,0
i was able to connect to may exchange with apple mail after they enabled active sync for my iphone. i hate entourage... so much,1
sorry i missed you @ Cain but they weren't very nice to my gay boy - I think some1 was jealous...missu  hope to see ya soon ;),1
Save a Fighter Pilot's Ass  by Oscar Brand. Funny shit.,0
damn why doesn't thwirl have spell checker?? But actually the ones the girls decorated are a bit on the mean side  hard to ice smiles,0
 N3qRO WUZZ YA NUMBER,0
  positive :],0
ok! where is it then? send that bitch to me!! haha!,1
dude  I'm not even in LA. I'm in cold ass Chicago. But  its nothing but a word if I was in LA.,0
  haha  sometimes. :),0
 Whats the stupidest thing you ever did with your cell phone?,0
"You clearly said ""Would I have to fuck anyone""",1
That's happened to me before  too (replacing a flat with a flat). That sucks.,0
grrr I hate that. I have an ex-friend who only gets in touch when they have something great to tell me about themselves... o_0,1
wow r u serious? damn did that period of time skip over you? lol,1
Damn! Wish I was there!,0
hey man  i'd be screwed without slicehost's tutorial articles and creating new slices from backup images... I hate fresh setup.,0
fuck yeah. swing by sometime (after the 17th) and i'll take you to rocco's. yeah  think about that.,1
I mean you hate it but you bought it  doesn't that speak for itself,1
Damn fucking skippy. I'm onthe same shit,1
ha i hate rain  QTpie,0
hahahahahahjdshgskdg I hate you. So much.,1
http://twitpic.com/xm6u - You have an inbox folder for CYA - Covering Your Ass?,1
 Who is the most annoying celebrity?,0
well some bitch..,0
  yea my sister,0
Dang Id hate to see whats in Twinkies!,0
  ...........999 a girl?? lol oh god why did u make me so stupid??,0
 who wass yhur valentinee ??,0
 Why do you press harder on the remote-control when you know the battery is dead?,0
"Man!  I hate when that happens!  My kids' toys are ""Adult Proof""!",0
  september 7th,0
did i jus get a reply from an emo asian!? CRAZY!,1
  idk lol,0
Heores Season 2 sucked! Full of emo shit!,1
ewww  hate it hate it hate it!,1
closing now. some gay xmas thing,1
LMAO - yeh you're probably right. I take it so personally because I only send the damn things out 2 or 3 times a year :-(,0
THE NEW FUCKING GENERAL OF THE WORLD  THAT'S WHAT.,1
 if I wrote you a love note and made you smile with every word I wrote what would you do?,0
@markmancao haha. i love it! gay nights for all!,1
lo thankyou.. will see you soon :) and i hav to send a mail to u damn!,1
"Read your post  ""Sincerity Sucks.""  Thank you! I feel less guilty for holding certain ""sincere"" people accountable for actions",1
 Camping with a ton of friends or hotel with a few friends?,0
hahah word ! their set was off the fucking hezay,1
i update from my phone a lot  you can add twitter as a contact. damn bsa is getting all high tech.,1
damn this is some good coffee,0
"crikey - wish I had! Speaking of narcotic influence  Solid Steel Podcast lyric ""I would hate to have a clock for a face"" WTF?",0
:-( Yucky needles. I hate those ones with a special sort of passion! *hugs* Hope it's over soon with the needles.,1
Especially the gay cowboys. Ha ha.,1
had to document it just incase i was going mad myself. and i don't even like cock. what are they trying to suggest?,0
Coat Rack Contest in the Fab Lab. I hate winter  but this would help channel emotions into something constructive.,1
u know it was over $1200 2 get that bar replaced. George is gonna take that outta thier ass LOL,1
WTF!? CHURCH!? Why? Church during the week makes no damn sense!!!!!,0
FUCK YES!!!! RING!!!,0
"Ashley""",0
Seriously! 'Oh Great  a giant American flag! WTF are we supposed to do with it? Fuck it  send it to Price is Right',1
except when there is a cat being held above my mom and the word gay~ is being used. lol.,0
 Have you ever had head lice?,0
whats the operating system on it? i have windows vista and vista sucks bad..it is full of bugs still. shuts down and freezing alot,1
 When was the last time you yelled?,0
 What would be the best thing about being a vampire?,0
I got it for Wii  when I get back from my dad's we're gonna play and it will be so kick-ass.,1
"I got one fucking day of sprinkles and now it's back to sunshine and douchebaggery.""",0
Heores Season 2 sucked! Full of emo shit!,1
 Do you believe in Karma and Destiny?,0
thank you  she's such a big baby. lol But such an incredible dog. hate to think of life without her pain in the butt self,1
this is why I hate partying with people I work with. They want to talk about work the whole time,0
i really hate rss now. sometimes i think the problem could be solved by shifting feed readers but it's more pernicious than that,0
oh guess who got an australian shephard puppy today. note: NOT ME. the other roommate. yeah. another. fucking. dog.,1
why do you eat so much you fat bastard,1
I missed you again  damn it.,0
  hahhahah yeah you!,0
Y'know  it's very stereotyped emo.. I know plenty of older people who follow the trend / cult the whole way.,1
 If drugs had no bad effect on your health...would you do them?,0
is there a good intro to cucumber+rspec? the wiki sucks.,0
you mean we chatted about how I wish I were a gay man??,1
 What is your favorite thing to eat with peanut butter?,0
 uhmm idkk hahaha ALOTTTTT,0
Lobsters and ligatures? Are you a Portland-area type nerd  then?,1
- damn you and your constant banoffee pie mentions!! Very tempting LOL,1
yo why u always tweetin' about boy problems ?? Fuck nikkas  get money  stay focused son!!! I know you a Hustla & Hard worker!!,1
  Others what?,0
 & @karkar  I hate Walmart anymore. I'm gonna have to start taking my own cart with spikes and barbed wire. Maybe flamethrowers.,1
  yea all the time,0
  H2o,0
not me... i'm there for dick.,0
ditto bitch!,1
Thanks. It sucks  but at least we're warm! And it's a Courtyard by Marriott  so not a dive.,0
 Do you collect people in jars? If so what type of people and why? If you wont put bodies in jar&;s how else do you intend on disposing of you&;re victims bodies? Ask a question back? :),0
Damn. I've actually reformatted the drive several times. Eventually becomes read only every time :(,0
"my lungs are fine  but my legs are like ""bitch  your ass is heavy !! let's stop !"".",1
 what do you mean? what drama did you cause?,0
Bears are awful evil killing machines.  Cowboys are cool...Jerry Jones sucks.,0
Get it  &#191;? Damn . And now you people  @yuuppiitsannee and @hiiemily  see why I'm terrible.,0
"yeah  ""gay recovery"" is a crock of shit. That's why all these ex-gays keep getting caught cruising in public parks and restrooms.",0
that's the coolest damn thing yet! Have you put it on your own website yet? Its a pretty simple ap  just don't use huge pics,1
LIKE BITCH WUSSUP! Ahahaha,1
no! my phone is just actin gay :-(,0
Uh... yeah.  Joe and I have been wondering what all the fuss was about.  Put your ass in it  make sure it's tight.. done.,1
When was the first ICS? Was Emo Jesus created yet? was prior to March 22  2007 (1st live tattoo show),0
what are you gonna stab a bitch with? scissors? knife? spear? sword? cock? pencil? dildo? cattle prod? broken glass?,1
ways to kick your own ass in the gym? Bring in a coke and fries with you  or wear a polyester leisure suit.,0
rogue. I hate you and your ability to spell correctly. though some of them were red  but they were communist. not rouge.,1
 Do you know a alcoholic?,0
I'm at a high school that I fucken hate. I can't stand these people  but my sister has a concert thing so I have to be here,1
so fucking angry all the time,1
yo why u always tweetin' about boy problems ?? Fuck nikkas  get money  stay focused son!!! I know you a Hustla & Hard worker!!,1
ugh  fuck the chargers!,1
do not bitch about the temperatures while I'm up in the freezing tundra of the north or I'll slap yer pregnant ass  love.,0
haha don't hate on my mad skills.,0
faka... update your twitter you fucking homo sapien.,1
yr gay voice =],1
sadly true - mens lifestyle walks a fine line between britneys bits  and articles about pectoral development for gay guys...,1
  Lmao!! kk lemme get my ass off this toliet seat then ill check!! Mwahah!! jk,0
yes please! I'd kill for a Guinness at work right now  don't make me kill a bitch!,0
usually  if I am at the point where I'm ready to say something mean  I will click away. I hate mean people.  hate them.,1
  The earth. People's feelings. the way others react to people having a bad day. Kids :] Learning new things all the time.,0
good  I'm working on Maps by Yeah Yeah Yeahs and another track on hard/expert.  because medium is fucking boo-urns.,0
Rooster is LARRY'S bitch!,1
  yep,0
whats wrong with a monkey fuck? Lol i got my zippo fueled so no need of monkey fucks now lol,1
"You didn't imagine it. It was the ""get away from her you bitch"" climax scene being parodied.",1
  Lots :) show your face.,0
damn that store! ~*Krystle*~,1
 so who do yhu think yhur inlovee wit ??,0
I HATE that!,1
"I missed this yesterday---love ""cheeses my beef."" But yes  they got it wrong with the ribbon. Hate the ribbon.",0
bitch  its 10:40.,0
i don't know that bambi's ass is a nice place. LOL,1
LOL... My name was on Santas ass! thanks.,0
  thanks,0
"I guess that song represents Bono's ""dark"" period. Fuck saving them. Be happy with your wealth.",1
"You clearly said ""Would I have to fuck anyone""",1
"I loved the band name:""Gay Biker Nuns on Acid"". Doesn't exist  but we had a kid in high school convinced it was a punk band.",0
hate you,0
ugh that sucks babe,0
nothing against Guy  mind you -- love him. but why do you hate democracy?,0
 What do you think about parwents who drink alcohol around their children?,0
women lie too. I know a bitch who was pimping herself out on craigslist. Yes  craigslist. I didn't believe it till that email.,1
O. M. G. FREAK. no offense.,0
I hate those fucking hash tags.,1
 I hate to admit it but  you appear to be more Jamaican than I am :-s :P,0
I'm blocking you because you have no value. Go back to telemarketing  or some other loser marketing scheme.,1
  DOnt PULL ovER!!! Never do that. Just keep going until your somewhere public and really well lighted all around. and then maybe go there until they leave. idk that would be freaky,0
the show just seems gay overall. what man would compete to be another man's friend? the hell...,0
i hate school =(,1
"Girl  talked to Black Milk on the phn for an hour. Watching ""Big Bang Theory"" drunk as fuck  eating cereal & its cold in the D.",1
Wow! Very impressive  but you are going to get hate-mail from the Apple lovers. And the XP lovers. And the linux Lovers. :P,0
Let me just launch my ass to work then.,0
After three months of walking down the hall to the desk in the living room  I'm completely spoiled! LOL 108 miles a day is a bitch!,0
I hate you so hard right now.,1
because i'm a dumb ass.,1
 Are you still shy to talk about sex??,0
 What color is your toothbrush?,0
your mother's a bitch.,1
you asian!!! I hate asians!!! Bahahahahhaha!!! Jk! I am well on my way to getting fucked up!!! See you next year!!! Hahahahaha!!,1
other than the Slowskis  I find all of their ads annoying - but i hate most ads. long live DVRs,0
OK but I'm telling you  it's going to be hard for me to fight my inner grammar nerd. I'll do it for the cause though ;),1
 do you wear hats?,0
omg that so fucking sucks,1
Screw Haptics? Kinky! ;-) Yeah I've found that feather-light touching and certain angles of fat thumb help. Almost less deliberate?,0
  Last night. Me &amp; My boyfriend went to the store and I started pickin up all kinds of things to buy and was like what the heckk did I even come here for!! :/ haha Thank goodness for my bf having his head on straight.,0
 when was the last gift you received?,0
will most likely be huddling & bitching about cold also - you'd think after 30something years  i'd be used to it. hate. cold.,0
damn can i drop the track and email it to u?,0
Lobsters and ligatures? Are you a Portland-area type nerd  then?,1
i hate u,1
Grammar nerd.,1
don't fuck with Fiat,1
  nothing. sorry im uninteresting currently haha ive beens ick,0
 Did you ever have a crush you never acted on?,0
 :O andrew u loser u have no life :P lol but i m gonna try to beat u,0
ok I take you off of my hate list and send you hugs  I am in business..this is my alter ego. mwahahah,1
"Also  I caught that ""Gai-damn"" earlier  and I support it 100% ;)",1
slap a bitch? What you want to do is CHOKE A BITCH like Wayne Brady!,1
  no,0
gorillas + apes always make me cry. mama apes nursing babies worst. 2nd are bored  ass-scratching primates. but kids dig zoos,0
unemployment sucks in NJ. In Pa  they lookat you your highest quarter and pay you per week what you got in that qtr,0
  I don't know really. You ask a lot of prostitue questions though  I'll tell you that. haha i guess because they've prolly never grown up being told thats not how life should or has to be..,0
"are you sure they weren't looking for my blog w/ ""wine bottle in ass""??",1
"what is up with viva la vida having almost all its songs in 2 parts? i hate part 1 of ""42"" but love the 2nd half!",0
I mean you hate it but you bought it  doesn't that speak for itself,1
 Dude they dont finish enclosing the fucking showers. I hate half assed jobs. Whats the reasononing behind it? Makes no sense.,1
u can lemme knw a css one =D but opacity n other sucks .. hehehe,0
i hate people who update their fb status more than once a day unless absolutely necessary...tweets-thats what they're for!,1
fashion parade. (damn sneaky mousepad enter key thing.),1
  hahahaahha i know  myspace.com/tabiisaninja,0
  Strawberry-Banana Smoothies from Jack in the Box ;D Yah dig?,0
thank yoooou. I'm probably going to get my ass handed to me lmao,0
i have a headache too... hate having head aches...,0
 bryans uglyyy!! dum hoe 5/19/10 aha yu guys make a ugly couple!,1
ironic - I normally hate plastic 4 environmental reasons- this time  it actually saved some of the patterns from the wet grass,1
AH! i was too! I hated that bitch. I want Bob or Sugar to win:),1
can u be a lamb & add a *gay* category to ur awards so I can nominate myself & others,1
What up! I'm always learning something new frm u every damn day. U r such a treat. Lol,0
 I am NOT a baby  you jerk off!,1
 do you sometimes ask God why things happen to you?,0
  nahhh,0
 Are most of your dreams realistic (that it feels like it can actually happen in real life) or non realistic (you flying)?,0
  yea -__-,0
Judge Chevere at the Daley Center..she's hispanic and a bad ass! Too bad i'd never want to go to law school..,1
Yeah.  I hate vinyl.  We have tile but I have the same troubles unless I clean daily.  Gonna try my all terrain steam vac on it!,0
damn!! *goes off to call God*,1
that sucks. im sorry.,0
 Well I am off for right now. As I said I am still deciding on deleting this account and quitting spamming. Have a good day <3,0
 *POOF* Your in prison... Why are you there?,0
Yeah i'm with ya...I hate to see guys get hurt  but it's a little easier when it's Roth..if only it had been Ward or Polamalu,1
 i hope your asswhole gets sniffed by aids,1
Damn Jim idk what to say:/ Sorry man.,1
that's happened to me twice in the past 4 months. Pain in the ass. Much.,1
the new MacBook Pro?I am getting used to the tapping. I hate the way new track pad clicks. Too loud. Too hard to press.,0
 Would you ever allow your spouse to go to a strip club?,0
"my favorite is people who bitch about bad ""grammer"" and then use the possessive it as ""it's"" ... GAH!",0
What do you have now? Love my BlackBerry Curve (and they're $99 now)  and the Bold is supposed to be awesome. Hate the Pearl's KB.,0
"""hey've just proved how fucking irrelevant they are"" ..By making you go and read them?",1
  No and yes :] wanna read it though!,0
ha! my ass be bowling lol,1
can't make up my mind. Go out w my girl vip style and leave the dog home alone till morn  stay in or go to a gay pj party,1
 you just shamed my people tabi.. you like making black rappers feel bad huh? makes you feel powerful? still you rock,0
  wow,0
  YES!~!!!!,0
Long day?  I hate meetings.  I HATE them.,0
 AlexisNicoleHodnett is my besttestt frann<3(: iloveyouu Lexiflagss(:,0
I *really* hate housework! Then again  it was great waking up to a clean LR & kitchen! Maybe I should do it more often... :-),1
  My bestest.,0
 If you were a monster  what monster would you be?,0
 I want ________ to be my sister.,0
oh.. you are not even at the party yet?  damn...   them's good lemon drops.,0
The dam @chilis? Is this like the pig under your tree? Have you cracked open the chard already?,1
but damn I look good on it.,0
aim kills my battery. Sucks having a 2 year old sk :(,0
damn kenny u need emotional condoms and shit son.,1
yeah  I did that a few months ago. How's your show doing man?? looks kick ass!,1
thats what you get for being a fat ass....FAT ASS...,1
get on messenger already whore.,1
Hi new friend! I like your personality.super cool:) Yeah I forgot it is like 9 am there..that sucks!,1
 your like wiked pretty  im soo jealous :,0
  Comfortness.,0
lol i think she's a huge bitch BUT she's good at what she does and is entertaining at times :),1
fuck off!!!,1
  umm small cuz its a couch lol,0
have  you  ever watched message in a  bottle? i  cried like  a  loser haha,0
 Your face is such a mess  why don&;t you get your dog something different to chew on?,1
  famous! :P,0
"and yes.  true life ""i have tourettes"" is genius.  so is ""i went to fat camp"".  lmaooooooo",1
 oh man. the malls are a mess  it grosses me out. ohhh capitalist dogma  how i hate you,1
dawns a Fucking twat and @occultclassic that is the best song on the album,1
Dig him up? Fuck that - I'm picturing next years Halloween costume already!,1
 shut up ur prettty!..ll,0
 soda or Kool aid ??,0
  Mall i guesss,0
  Oh ammmmm I? Lol Who is this?(;,0
  Haha yepp,0
"so  when he laughs & comes down the chimney  does he say  ""Whore! Whore! Whore!"" and shake like a bowl full of jelly???",1
hi Pete  hehe  its funny when you get put on the spot like that  one take  no edits  warts an' all (hate watching mself tho :) ),0
I cry  but then I'm just like that fucking woman is a bitch. God I hate her!!! (Yolanda) I'm getting mad just thinking lol,1
How would you fancy being Jeff's resident bitch? Just his pet  he can take you out for walk and stuff. Straighten your hair...,1
man i forgot that was tonight! i knew i was forgetting something... damn.,0
"and yes.  true life ""i have tourettes"" is genius.  so is ""i went to fat camp"".  lmaooooooo",1
"yo freak ""sarath freak""",1
They do fear us; why do you think they hate us owning guns? It's all that stands between them and absolute power.,0
ah shit that sucks!,1
Oh  I would hate that too.  Three apps? That would barely get me started.,1
 Are your nippleSz pierced?,0
if it's a regular poem  give him one more chance to fuck up. if it's a poem to you  yeah he and his boy have to go,0
  yea :),0
totally loved Odo. But the Ferengi make my skin crawl. out of all the species  they're the ones i hate the most. yuck!,1
@icystorm I think the thing to note here is that everyone has an emo phrase re: romance in high school and eventually it blows over,1
 Dumb bitch! Fuchkkk you and your stupid friends! Your all pussies! None of you can handle on your own! You always need your friends to get in everything!,1
I'm gay and I'm pregnant gak mungkin berhasil. This guy is persistent. Gmn ya. Can I just simply ignore his msgs??? :-D,1
FUCK I won't be around spring in Charlottesville. I'll be in L.A....Summer Tour FTW,0
Now wait a second mr fanboy. You cant judge it without seeing it. You already think it sucks and its not even out.,1
Listen  RayRay  I gave you the lowdown as soon as I got it. I hadn't heard it b4 and I was shocked. She seems to hate his guts.,1
 What message would you want to put in a fortune cookie?,0
ham stands 4 hot ass mess,1
thanks  the nerd in me is overjoyed,1
Lol why do you do this?! I hate your guts :-p,1
oh damn that sounds good!,0
"Haha: ""Ann  I think you are a hate crime."" I would like to maul her face with a garden rake.",0
was that a racial comment? on it's going down!! bitch!,1
 Weirdest pet you have ever had?,0
I will super hero my ass out there and blow the tire up myself!!!,1
april to may is humpback whale season in new england. We bringing hump back? No? I tried...,0
the fail whale?,1
try fuck.,1
I iz calm now - cept I can't figure out how to properly edit my wordpress templates. NERD ALERT NERD ALERT.,1
DEAD ASS?!?!?!?!?!,1
uh bitch wtf is that suppose to mean?,1
gee  i'd hate to see what you say about the family ;),1
 What was the last thing you made with your own hands?,0
JFK off to Paris...No days off I'll still be online to diss your ass!!,0
How would you fancy being Jeff's resident bitch? Just his pet  he can take you out for walk and stuff. Straighten your hair...,1
 B!+(h !M@ B3 PUMP!N D!S$Z D!(k !N Y0 3@R S0 H@RD DAM BRUH I BUST3D A L0@D 0F CUM !N MA M0MMASZ HA!R SH3 MO!STURIZIN IT DO3. I P!CTURE Y0 VA@GIN@ T0 BE3 ALL H@!RY N $$H!ZZZZ W@!T T!L ! MUNCH ON DAT N@PPY BROWN H@!RY H@!T!@N PUZZIE,1
I should round house kick ur al qaeda lookin ass in the face with my flip flops!,1
